"Step","GPR - train_loss/total_loss","GPR - train_loss/total_loss__MIN","GPR - train_loss/total_loss__MAX","APPNP - train_loss/total_loss","APPNP - train_loss/total_loss__MIN","APPNP - train_loss/total_loss__MAX","2HopConv - train_loss/total_loss","2HopConv - train_loss/total_loss__MIN","2HopConv - train_loss/total_loss__MAX","NewConvForm - train_loss/total_loss","NewConvForm - train_loss/total_loss__MIN","NewConvForm - train_loss/total_loss__MAX","Base-SwinT - train_loss/total_loss","Base-SwinT - train_loss/total_loss__MIN","Base-SwinT - train_loss/total_loss__MAX"
"72","32.14130943454802","32.14130943454802","32.14130943454802","31.170575152151287","31.170575152151287","31.170575152151287","27.939063301542774","27.939063301542774","27.939063301542774","39.6386628500768","39.6386628500768","39.6386628500768","48.420337826479226","48.420337826479226","48.420337826479226"
"73","46.64925339655019","46.64925339655019","46.64925339655019","30.39052562788129","30.39052562788129","30.39052562788129","32.36194173977128","32.36194173977128","32.36194173977128","40.04065592220286","40.04065592220286","40.04065592220286","48.82417378789978","48.82417378789978","48.82417378789978"
"74","25.22538083512336","25.22538083512336","25.22538083512336","29.78742950502783","29.78742950502783","29.78742950502783","33.39978917273402","33.39978917273402","33.39978917273402","35.19181151577504","35.19181151577504","35.19181151577504","44.948350767663214","44.948350767663214","44.948350767663214"
"75","24.970902749337256","24.970902749337256","24.970902749337256","28.032963973935694","28.032963973935694","28.032963973935694","36.116925602342235","36.116925602342235","36.116925602342235","38.18853571577347","38.18853571577347","38.18853571577347","47.247949820011854","47.247949820011854","47.247949820011854"
"76","34.381529504433274","34.381529504433274","34.381529504433274","26.328782921656966","26.328782921656966","26.328782921656966","29.301245031121653","29.301245031121653","29.301245031121653","35.535041634895606","35.535041634895606","35.535041634895606","50.97299437207403","50.97299437207403","50.97299437207403"
"77","25.025240776129067","25.025240776129067","25.025240776129067","24.125136975198984","24.125136975198984","24.125136975198984","33.154948872645036","33.154948872645036","33.154948872645036","37.134333594935015","37.134333594935015","37.134333594935015","44.720527490309905","44.720527490309905","44.720527490309905"
"78","22.592164003290236","22.592164003290236","22.592164003290236","28.784765053540468","28.784765053540468","28.784765053540468","28.47342187067261","28.47342187067261","28.47342187067261","39.1977887119283","39.1977887119283","39.1977887119283","48.007679211965296","48.007679211965296","48.007679211965296"
"79","27.551085399463773","27.551085399463773","27.551085399463773","30.914086680859327","30.914086680859327","30.914086680859327","31.77529741601029","31.77529741601029","31.77529741601029","33.35739032329002","33.35739032329002","33.35739032329002","48.70184294634964","48.70184294634964","48.70184294634964"
"80","23.592429790645838","23.592429790645838","23.592429790645838","26.965156339108944","26.965156339108944","26.965156339108944","30.506671768365777","30.506671768365777","30.506671768365777","36.40622759851976","36.40622759851976","36.40622759851976","47.874848544888664","47.874848544888664","47.874848544888664"
"81","36.83079490251839","36.83079490251839","36.83079490251839","31.72060568863526","31.72060568863526","31.72060568863526","30.19900491370936","30.19900491370936","30.19900491370936","44.08292376177269","44.08292376177269","44.08292376177269","50.61313506425358","50.61313506425358","50.61313506425358"
"82","23.539807696826756","23.539807696826756","23.539807696826756","22.583160001784563","22.583160001784563","22.583160001784563","25.82659801375121","25.82659801375121","25.82659801375121","33.076544782787096","33.076544782787096","33.076544782787096","47.25652494688984","47.25652494688984","47.25652494688984"
"83","25.835992285981774","25.835992285981774","25.835992285981774","27.375579892657697","27.375579892657697","27.375579892657697","32.175001443130895","32.175001443130895","32.175001443130895","36.662393354432425","36.662393354432425","36.662393354432425","47.102272777527105","47.102272777527105","47.102272777527105"
"84","28.02819323539734","28.02819323539734","28.02819323539734","23.915081115439534","23.915081115439534","23.915081115439534","26.167416929878527","26.167416929878527","26.167416929878527","33.31782681643381","33.31782681643381","33.31782681643381","41.57562325941399","41.57562325941399","41.57562325941399"
"85","33.15221038274467","33.15221038274467","33.15221038274467","33.20650118030608","33.20650118030608","33.20650118030608","27.963493354036473","27.963493354036473","27.963493354036473","32.02185856719734","32.02185856719734","32.02185856719734","47.09045275830431","47.09045275830431","47.09045275830431"
"86","42.70763447880745","42.70763447880745","42.70763447880745","25.677086760289967","25.677086760289967","25.677086760289967","25.397666926146485","25.397666926146485","25.397666926146485","36.43901389245002","36.43901389245002","36.43901389245002","46.20430469408166","46.20430469408166","46.20430469408166"
"87","23.550937860272825","23.550937860272825","23.550937860272825","34.024823907762766","34.024823907762766","34.024823907762766","25.8214070872491","25.8214070872491","25.8214070872491","35.17085173203668","35.17085173203668","35.17085173203668","44.59903041255893","44.59903041255893","44.59903041255893"
"88","27.20055652037263","27.20055652037263","27.20055652037263","27.730776578187943","27.730776578187943","27.730776578187943","23.451425508828834","23.451425508828834","23.451425508828834","35.430974785704166","35.430974785704166","35.430974785704166","48.12885942927096","48.12885942927096","48.12885942927096"
"89","22.560378219932318","22.560378219932318","22.560378219932318","23.601745350286365","23.601745350286365","23.601745350286365","27.5749500754755","27.5749500754755","27.5749500754755","32.98102893473697","32.98102893473697","32.98102893473697","43.284059745492414","43.284059745492414","43.284059745492414"
"90","24.452730355784297","24.452730355784297","24.452730355784297","26.265235509723425","26.265235509723425","26.265235509723425","27.530328709282912","27.530328709282912","27.530328709282912","34.23691471325583","34.23691471325583","34.23691471325583","45.89884279307444","45.89884279307444","45.89884279307444"
"91","27.513862505555153","27.513862505555153","27.513862505555153","28.20973389968276","28.20973389968276","28.20973389968276","25.23356038791826","25.23356038791826","25.23356038791826","30.987803318799706","30.987803318799706","30.987803318799706","40.598181241657585","40.598181241657585","40.598181241657585"
